"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-196b",5.69238383299989,1.9397263921597,8623.50399269959,6.97261695948447e-62,5.1179008482616e-59,115.301013345957
"hsa-miR-517a",5.38233682099993,0.0339924178479087,8153.80768894609,1.94141408238859e-61,7.12498968236613e-59,115.161560634038
"hsa-miR-543",5.11729798299992,0.096663508904943,7752.29515135794,4.88747844113358e-61,1.19580305859735e-58,115.023708937089
"hsa-miR-129-3p",3.97365219899997,0.0994376438174905,6019.76370690679,4.98396916533269e-59,9.14558341838549e-57,114.128404140375
"hsa-miR-337-3p",2.74640857899993,0.243414988722433,4160.58825992923,4.27313644307266e-56,6.27296429843067e-54,112.021678483525
"hsa-miR-551b",-1.46810108299998,0.639020634722433,-2224.05514497167,4.0188227459203e-51,4.9163598258425e-49,105.635550291331
"hsa-miR-1303",1.43853007399999,0.0289801310836502,2179.2574430491,5.83005257979701e-51,5.34907324196573e-49,105.367730297586
"hsa-miR-1205",1.43853007399996,0.155554866764259,2179.25744304905,5.83005257979917e-51,5.34907324196573e-49,105.367730297585
"hsa-miR-663b",-0.443675201000001,1.49043558171103,-672.132269982394,1.27609691738604e-41,1.0407279304015e-39,85.8962422806589
"ebv-miR-BART12",5.79987595099992,2.03255265206464,23.6660278443154,3.60713811867168e-15,2.64763937910501e-13,22.0826452147012
"hsa-miR-154",5.60615927699992,0.50756848251711,20.9033673354989,3.23105945373674e-14,2.15599785367524e-12,19.7745673532549
"hsa-miR-301b",-4.84632156099991,1.86909381838403,-16.5966732291438,1.79233336541428e-12,1.0963105751784e-10,15.5502105833238
"ebv-miR-BART15",5.66421104799991,3.9665126094981,14.9411450831845,1.07960982830839e-11,6.09564318444891e-10,13.6632092517418
"hsa-miR-382",5.07512379399996,0.263761056946768,13.8420866479104,3.91798648986136e-11,2.05414434539874e-09,12.3096225615391
"hsa-miR-885-5p",4.50528411099998,0.716245957072243,13.1039709531827,9.77870713444985e-11,4.78504735779079e-09,11.3497195011834
"hsa-miR-1285",2.74640857899999,0.0606010841634981,12.0556168931933,3.86383140511938e-10,1.77253265709851e-08,9.9087065550144
"hsa-miR-487b",3.27953750699997,0.111959641326996,9.53879115562862,1.59349494056387e-08,6.88014874337577e-07,6.01618865158722
"hsa-miR-127-3p",4.89289834000001,0.390289282771863,9.05068310876918,3.54862288233207e-08,1.44704955312874e-06,5.18035604898234
"ebv-miR-BART1-3p",3.74642802399994,7.35860356788213,7.99910059781311,2.19978810389125e-07,8.49812878029565e-06,3.27941880852489
"ebv-miR-BART17-5p",3.63396387499995,5.38642565227757,7.64616874972831,4.18974528323527e-07,1.53763651894735e-05,2.60954341535406
"hsa-miR-495",6.12330294499994,1.11042577134981,7.38441321615788,6.82917594290195e-07,2.38695959147144e-05,2.10215226718489
"ebv-miR-BART11-5p",3.54692292599994,5.4092978724981,7.21670710426745,9.3846673532793e-07,3.131066289685e-05,1.77232183049823
"hsa-miR-874",1.43853007399997,0.276280715642586,6.31456207721108,5.53865816336397e-06,0.000176755438778659,-0.0648001029777241
"hsa-miR-184",3.77720355999996,1.3221677176654,5.76825815309947,1.71040896956893e-05,0.000523100076526499,-1.2263968906234
"hsa-miR-450a",2.94681424599995,0.826366104038023,5.56467553457845,2.62876219976354e-05,0.000771804581850577,-1.66782804938284
"hsa-miR-514",2.94681424599999,0.356060556931559,5.3586611994004,4.08123691092272e-05,0.00115216457408357,-2.11877842142746
